Group,Sample,Folder_name,File_name,fastq_1,fastq_2
shMOV10_Ribo-02,shMOV10_Ribo-02-03,Sample_Molm13_shMOV10_Ribo_r2_IGO_14706_B_17,shMOV10_Ribo_r2_IGO_14706_B_17_S127,Molm13_shMOV10_Ribo_r2_IGO_14706_B_17_S127_L003_R1_001.fastq.gz,Molm13_shMOV10_Ribo_r2_IGO_14706_B_17_S127_L003_R2_001.fastq.gz
shMOV10_Ribo-02,shMOV10_Ribo-02-03,Sample_Molm13_shMOV10_Ribo_r2_IGO_14706_C_16,shMOV10_Ribo_r2_IGO_14706_C_16_S25,Molm13_shMOV10_Ribo_r2_IGO_14706_C_16_S25_L003_R1_001.fastq.gz,Molm13_shMOV10_Ribo_r2_IGO_14706_C_16_S25_L003_R2_001.fastq.gz
shMOV10_Ribo-03,shMOV10_Ribo-03-01,Sample_Molm13_shMOV10_Ribo_r3_IGO_14706_C_41,shMOV10_Ribo_r3_IGO_14706_C_41_S21,Molm13_shMOV10_Ribo_r3_IGO_14706_C_41_S21_L001_R1_001.fastq.gz,Molm13_shMOV10_Ribo_r3_IGO_14706_C_41_S21_L001_R2_001.fastq.gz
shMOV10_Ribo-03,shMOV10_Ribo-03-02,Sample_Molm13_shMOV10_Ribo_r3_IGO_14706_C_41,shMOV10_Ribo_r3_IGO_14706_C_41_S21,Molm13_shMOV10_Ribo_r3_IGO_14706_C_41_S21_L002_R1_001.fastq.gz,Molm13_shMOV10_Ribo_r3_IGO_14706_C_41_S21_L002_R2_001.fastq.gz
shMOV10_Ribo-03,shMOV10_Ribo-03-03,Sample_Molm13_shMOV10_Ribo_r3_IGO_14706_C_41,shMOV10_Ribo_r3_IGO_14706_C_41_S21,Molm13_shMOV10_Ribo_r3_IGO_14706_C_41_S21_L003_R1_001.fastq.gz,Molm13_shMOV10_Ribo_r3_IGO_14706_C_41_S21_L003_R2_001.fastq.gz
shMOV10_Ribo-03,shMOV10_Ribo-03-03,Sample_Molm13_shMOV10_Ribo_r3_IGO_14706_B_18,shMOV10_Ribo_r3_IGO_14706_B_18_S128,Molm13_shMOV10_Ribo_r3_IGO_14706_B_18_S128_L003_R1_001.fastq.gz,Molm13_shMOV10_Ribo_r3_IGO_14706_B_18_S128_L003_R2_001.fastq.gz
shMSI2_MIB-01,shMSI2_MIB-01-01,Sample_Molm13_shMSI2-C_MIB_r1_IGO_14706_C_14,shMSI2-C_Con_r1_IGO_14706_C_14_S32,Molm13_shMSI2-C_Con_r1_IGO_14706_C_14_S32_L001_R1_001.fastq.gz,Molm13_shMSI2-C_Con_r1_IGO_14706_C_14_S32_L001_R2_001.fastq.gz
shMSI2_MIB-01,shMSI2_MIB-01-01,Sample_Molm13_shMSI2-C_MIB_r1_IGO_13289_C_19,shMSI2-C_Con_r1_IGO_13289_C_19_S28,Molm13_shMSI2-C_Con_r1_IGO_13289_C_19_S28_L001_R1_001.fastq.gz,Molm13_shMSI2-C_Con_r1_IGO_13289_C_19_S28_L001_R2_001.fastq.gz
shMSI2_MIB-01,shMSI2_MIB-01-02,Sample_Molm13_shMSI2-C_MIB_r1_IGO_14706_C_14,shMSI2-C_Con_r1_IGO_14706_C_14_S32,Molm13_shMSI2-C_Con_r1_IGO_14706_C_14_S32_L002_R1_001.fastq.gz,Molm13_shMSI2-C_Con_r1_IGO_14706_C_14_S32_L002_R2_001.fastq.gz
shMSI2_MIB-01,shMSI2_MIB-01-02,Sample_Molm13_shMSI2-C_MIB_r1_IGO_13289_C_19,shMSI2-C_Con_r1_IGO_13289_C_19_S28,Molm13_shMSI2-C_Con_r1_IGO_13289_C_19_S28_L002_R1_001.fastq.gz,Molm13_shMSI2-C_Con_r1_IGO_13289_C_19_S28_L002_R2_001.fastq.gz
